Category,Name,Type,Description
ham dishes,Amish preaching soup,Ham hock dishes,Amish preaching soup is a type of bean soup in American cuisine.
ham dishes,Fläsklägg med rotmos,Ham hock dishes,"Fläsklägg med rotmos (Swedish pronunciation: [ˈflɛ̂sːklɛɡ meː ˈrûːtmuːs]) is a dish in Swedish cuisine, closely related to German Eisbein."
toast dishes,Bruschetta,Toast dishes,"Bruschetta (/bruːˈskɛtə/,[1] /bruːˈʃɛtə/,[2] Italian pronunciation: [bruˈsketta] (listen)) is an antipasto (starter dish) from Italy consisting of grilled bread rubbed with garlic and topped with olive oil and salt."
tomato dishes,Fried green tomatoes,Tomato dishes,"Fried green tomatoes are a side dish usually found in the Southern United States, made from unripe (green) tomatoes coated with cornmeal and fried."
Palestinian dishes,Galayet bandora,Salads and dips,"Qalayet Bandora (Arabic: قلاية بندورة أو مسقة بندورة, transl."
foods named after places,Porra antequerana,Southern Europe,"Porra antequerana is a part of the gazpacho family of soups originating in Andalusia, in southern Spain."
toast dishes,Pa amb tomàquet,Toast dishes,"Pa amb tomàquet (Catalan pronunciation: [ˈpam tuˈmakət]),  or Pan con tomate in spanish (""Bread with tomato""), is a traditional food of Catalan, Valencian, Aragonese, Balearic and Murcian cuisines in Spain."
tomato dishes,Panzanella,Tomato dishes,"Panzanella [pantsaˈnɛlla] or panmolle [pamˈmɔlle] is a Tuscan chopped salad of soaked stale bread, onions and tomatoes that is popular in the summer."
tomato dishes,Pappa al pomodoro,Tomato dishes,"Pappa al pomodoro (Italian: [ˈpappa al pomoˈdɔːro]; translating to ""tomato[1] mush"") is a thick Tuscan bread soup typically prepared with fresh tomatoes, bread, olive oil, garlic, basil, and various other fresh ingredients."
tomato dishes,Pasta al pomodoro,Tomato dishes,"Pasta al pomodoro (pronounced [ˈpasta al pomoˈdɔːro]) is an Italian food typically prepared with pasta, olive oil, fresh tomatoes, basil, and various other fresh ingredients."
foods named after places,Pizza pugliese,Southern Europe,"Pizza pugliese (Italian pronunciation: [ˈpittsa puʎˈʎeːze]) is a style of pizza in Italian cuisine prepared with tomato, onion, and mozzarella."
tomato dishes,Salmorejo,Tomato dishes,"Salmorejo is a purée consisting of tomato and bread, originating from Cordoba in Andalucia, south Spain."
tomato dishes,Shakshouka,Tomato dishes,"Shakshouka (Arabic: شكشوكة‎, also spelled shakshuka or chakchouka) is a Maghrebi dish of eggs poached in a sauce of tomatoes, olive oil, peppers, onion and garlic, and commonly spiced with cumin, paprika, cayenne pepper, and nutmeg."
tomato dishes,Stewed tomatoes,Tomato dishes,"Stewed tomatoes is a dish typical of the United States, prepared using fresh tomatoes, garlic and herbs, and consumed with bread or meat."
tomato dishes,Stir-fried tomato and scrambled eggs,Tomato dishes,Stir-fried tomato and scrambled eggs (Chinese: 番茄炒蛋/西紅柿炒雞蛋) is a common dish in China.
stuffed dishes,Stuffed tomatoes,Stuffed dishes,"Stuffed tomatoes are one of a number of dishes in which tomatoes are filled with ingredients, usually including rice."
tomato dishes,Tomato and egg soup,Tomato dishes,Tomato and egg soup (Chinese: 番茄蛋汤; pinyin: Fānqié dàn tāng or Chinese: 番茄蛋花汤; pinyin: Fānqié dàn huā tāng) is a dish from China consisting mainly of tomato and egg.
lamb dishes,Tomato bredie,Lamb dishes,"Tomato bredie is a South African stew, referred to in Afrikaans as 'tamatiebredie', normally made with mutton."
tomato dishes,Tomato chutney,Tomato dishes,"Tomato chutney is a type of chutney, native to the Indian subcontinent, prepared using tomatoes as the primary ingredient."
tomato dishes,Tomato compote,Tomato dishes,Tomato compote is a relish or side dish whose main ingredient is roasted or cooked tomatoes.
breakfast foods,Tomato omelette,Breakfast foods,A tomato omelette is a breakfast dish prepared mostly in Maharashtra.
foods named after places,Sicilian pizza,Southern Europe,"Sicilian pizza is pizza prepared in a manner that originated in Sicily, Italy."
foods named after places,Trenton tomato pie,Southern Europe,"Trenton tomato pie[1][2] or New Jersey tomato pie[3] is a type of circular, thin-crust Italian tomato pie created in Trenton, New Jersey, United States around the early 20th century in which cheese and other toppings are added on first, then the sauce."
tomato dishes,Southern tomato pie,Tomato dishes,The Southern tomato pie is a tomato dish from the Southern United States.
tomato dishes,Tomato sandwich,Tomato dishes,A tomato sandwich is a sandwich of tomatoes between slices of bread.
tomato dishes,Cheese and tomato sandwich,Tomato dishes,A tomato sandwich is a sandwich of tomatoes between slices of bread.
maize dishes,Cornmeal,,Cornmeal  is a meal (coarse flour) ground from dried corn.
maize dishes,Corn oil,,Corn oil (maize oil) is oil extracted from the germ of corn (maize).
maize dishes,Corn starch,,"Corn starch, maize starch, or corn flour (British English) is the starch derived from corn (maize) grain."
maize dishes,Corn steep liquor,,Corn steep liquor is a by-product of corn wet-milling.
maize dishes,Corn syrup,,"Corn syrup is a food syrup which is made from the starch of corn (called maize in many countries) and contains varying amounts of maltose and higher oligosaccharides, depending on the grade."
maize dishes,Glucose syrup,,"Glucose syrup, also known as confectioner's glucose, is a syrup made from the hydrolysis of starch."
maize dishes,High-fructose corn syrup,,"High-fructose corn syrup (HFCS), also known as glucose-fructose, isoglucose and glucose-fructose syrup,[1][2] is a sweetener made from corn starch."
maize dishes,High-maltose corn syrup,,High-maltose corn syrup is a food additive used as a sweetener and preservative.
maize dishes,Masa,,Masa (or masa de maíz) (English: /ˈmɑːsə/; Spanish pronunciation: [ˈmasa]) is a maize dough that comes from ground nixtamalized corn.
maize dishes,Mielie-meal,,"Mielie Meal (or maize meal) is a relatively coarse flour (much coarser than cornflour or cornstarch) made from maize which is known as Hupfu[1] or mealies in southern Africa, from the Portuguese milho."
maize dishes,Samp,,"Samp is an African food consisting of dried corn kernels that have been pounded and chopped until broken, but not as finely ground as mealie-meal or mielie rice."
maize dishes,Akple,"Soups, stews, and porridge",Akple is a Ghanaian dish indigenous to the Ewe tribe of the Volta Region.
maize dishes,Banku,"Soups, stews, and porridge","Banku is a Ghanaian dish which is cooked by a mixture of fermented corn and cassava dough in hot water into a smooth, whitish paste,[1][2] served with soup, okra stew or a pepper sauce with fish."
maize dishes,Bulz (food),"Soups, stews, and porridge","Bulz,[1] also called urs de mămăligă, is a Romanian dish composed by roasting polenta (mămăligă) and cheese in an oven."
maize dishes,Canjica,"Soups, stews, and porridge","Canjica is a white variety of corn, very typical of Brazilian cuisine."
maize dishes,Cocoloși,"Soups, stews, and porridge","Cocoloși is a traditional Romanian dish, consisting of balls of mămăligă (a porridge made out of yellow maize flour) filled with cheese and grilled on a barbecue."
crab dishes,Corn crab soup,Crab dishes,"Corn crab soup is a dish found in Chinese cuisine, American Chinese cuisine, and Canadian Chinese cuisine."
maize dishes,Corn pudding,"Soups, stews, and porridge","Corn pudding (also called pudding corn, puddin' corn, hoppy glop, or spoonbread)[1][2] is a creamy food product prepared from stewed corn, water, any of various thickening agents, and optional additional flavoring or texturing ingredients."
maize dishes,Corn soup,"Soups, stews, and porridge","Corn soup is a soup made of corn, typically sweetcorn."
maize dishes,Corn stew,"Soups, stews, and porridge",Corn stew is a stew prepared with corn (maize) as a primary ingredient.
maize dishes,Cou-cou,"Soups, stews, and porridge","Cou-cou, coo-coo (as it is known in the Windward Islands), or fungi (as it is known in the Leeward Islands and Dominica) makes up part of the national dishes of Antigua and Barbuda, Barbados, British Virgin Islands and the U."
maize dishes,Creamed corn,"Soups, stews, and porridge","Creamed corn (which is also known by other names, such as cream-style corn) is a type of creamed food made by combining pieces of whole sweetcorn with a soup of milky residue from pulped corn kernels scraped from the cob."
maize dishes,Fufu,"Soups, stews, and porridge","Fufu (or fufuo, foofoo, foufou) is a Twi word meaning ""mash or mix"" for a soft and doughy staple food of the Akan ethnic groups in Ghana, and made out of boiled cassava mixed with plantains or cocoyams and pounded together in a mortar (waduro) with a pestle (woma) unique to the Akans and only eaten with liquid soups (nkwan) such as, Light soup (Nkrakra nkwan), Abenkwan (palm nut soup), Nkatenkwan (peanut butter soup), Abunabun soup."
maize dishes,Ginataang mais,"Soups, stews, and porridge",Ginataang mais is a Filipino sweet corn and rice gruel.
breakfast foods,Grits,Breakfast foods,Grits are a porridge made from boiled cornmeal.
maize dishes,Hasty pudding,"Soups, stews, and porridge",Hasty pudding is a pudding or porridge of grains cooked in milk or water.
maize dishes,Kačamak,"Soups, stews, and porridge",Kačamak is a kind of maize porridge made in the Balkans.
maize dishes,Mămăligă,"Soups, stews, and porridge","Mămăligă (Romanian pronunciation: [məməˈliɡə] (listen);) is a porridge made out of yellow maize flour, traditional in Romania, Moldova and West Ukraine."
maize dishes,Mămăligă în pături,"Soups, stews, and porridge","Mămăligă în pături (layered mămăligă, literally ""mămăligă in blankets"") is a traditional dish from the Maramureș region, in the north of Romania."
maize dishes,Mush (cornmeal),"Soups, stews, and porridge",Mush is a type of cornmeal pudding (or porridge) which is usually boiled in water or milk.
maize dishes,Pashofa,"Soups, stews, and porridge","Pashofa, or pishofa, is a Chickasaw and Choctaw Indian soupy dish made from cracked white corn, also known as pearl hominy."
maize dishes,Polenta,"Soups, stews, and porridge","Polenta (/pəˈlɛntə, poʊˈ-/, Italian: [poˈlɛnta])[2][3] is a dish of boiled cornmeal that was historically made from other grains."
maize dishes,Sagamite,"Soups, stews, and porridge",Sagamité is a Native American stew made from hominy or Indian corn and grease (from animal fat).
maize dishes,Ugali,"Soups, stews, and porridge","Ugali, also known as ugali bogobe pap, nsima and nshima, is a type of maize flour porridge made in Africa."
Portuguese dishes,Xarém,Soups and stews,"Xarém is a thick soup from Algarve, Portugal prepared using corn meal, clams and/or sardines and grilled meats."
maize dishes,Acaçá,Tamales and related,"Acaçá (from Yoruba: àkàsà, also known as eko) is a ritual food central to ceremonies of Afro-Brazilian religions, specifically to Candomblé rituals."
maize dishes,Binaki,Tamales and related,Binaki (IPA: [ˈbɪ.
stuffed dishes,Guanime,Stuffed dishes,Guanimes are a prepared food that can be traced back to the pre-Columbian era in Puerto Rico.
stuffed dishes,Hallaca,Stuffed dishes,"Hallaca (Spanish pronunciation: [aˈʎaka], [aˈʝaka]; alt."
Ecuadorian dishes and foods,Humita,Ecuadorian dishes and foods,"Humita (from Quechua humint'a) is a Native South American dish from pre-Hispanic times, and a traditional food mostly from the Andean region of Ecuador."
stuffed dishes,Nacatamal,Stuffed dishes,A nacatamal is a traditional dish found in Nicaragua similar to the tamal.
maize dishes,Pamonha,Tamales and related,Pamonha (Portuguese pronunciation: [pɐˈmoɲɐ]) is a traditional Brazilian food.
stuffed dishes,Pasteles,Stuffed dishes,"Pasteles (Spanish pronunciation: [pasˈteles]; singular pastel), also known as pastelles in the English-speaking Caribbean, are a traditional dish in several Latin American and Caribbean countries."
maize dishes,Bollo,Breads and cakes,"Bollo is a bun, popular in Latin America, made from corn, yuca or potato."
Portuguese dishes,Broa,Portuguese dishes,Broa ([ˈbɾow.
maize dishes,Chipa guasu,Breads and cakes,"The chipa guasu is a cake made with corn grains, onions and Paraguayan cheese."
maize dishes,Corn cookie,Breads and cakes,A corn cookie (or maize cookie) is a type of cookie prepared with corn products.
deep fried foods,Corn tortilla,Fruits and vegetables,"In North America, a corn tortilla or just tortilla (/tɔːrˈtiːə/, Spanish: [toɾˈtiʝa]) is a type of thin, unleavened flatbread, made from hominy (nixtamalized maize (corn))."
breakfast foods,Johnnycake,Breakfast foods,"Johnnycake (also called journey cake, johnny bread, hoecake,  shawnee cake or  spider cornbread) is a cornmeal flatbread."
maize dishes,Makki di roti,Breads and cakes,"Makki ki roti (Devanagari: मक्की की रोटी)  is a flat unleavened bread made from corn meal (maize flour),[1] primarily eaten in Jammu, Himachal, Haryana, Rajasthan, Gujarat, Uttar Pradesh, Uttarakhand and Punjab region in North India and Pakistan."
maize dishes,Pastel de choclo,Breads and cakes,Pastel de choclo ('corn pie') is a South American dish based on sweetcorn or choclo.
maize dishes,Piki,Breads and cakes,Piki is a bread made from blue corn meal used in Hopi cuisine.
maize dishes,Proja,Breads and cakes,"Proja (Cyrillic: Проја, pronounced [ˈprǒːja]) is a Balkan dish made of corn flour, baking powder, sunflower oil, sparkling water and salt."
maize dishes,Sloosh,Breads and cakes,"Sloosh was a form of cornbread that was popular during the American Civil War, especially among Confederate soldiers."
foods named after places,Sopa paraguaya,United States,"Sopa paraguaya or Paraguayan soup is a traditional food of Paraguay, North-East of Argentina[1][2] and the area of Brazil near to the Paraguayan border."
maize dishes,Spoonbread,Breads and cakes,Spoonbread is a moist cornmeal-based dish prevalent in parts of the Southern United States.
steamed foods,Wotou,Steamed foods,"Wotou, also called Chinese cornbread, is a type of steamed bread made from cornmeal in Northern China."
deep fried foods,Corn fritter,Fruits and vegetables,"Corn fritters are fried cakes of a dough or batter made of, or containing a featured quantity of maize (corn)."
maize dishes,Corn chip,Fried dishes,"Corn chips are a snack food made from cornmeal fried in oil or baked, usually in the shape of a small noodle or scoop."
brand name snack foods,Corn nut,Brand name snack foods,"Corn nuts,[1] also known as toasted corn,[2] quico, or Cracker are a snack food made of roasted or deep-fried corn kernels."
maize dishes,Cornick (food),Fried dishes,"Cornick, also spelled kornik, is a Filipino deep-fried crunchy puffed corn nut snack."
deep fried foods,Hushpuppy,Deep fried foods,"A hush puppy (or hushpuppy) is a small, savoury, deep-fried round ball made from cornmeal-based batter."
maize dishes,Milho frito,Fried dishes,"Milho frito (fried cornmeal in English) is a typical Madeira side dish made of cornmeal, finely sliced collard greens (although kale is a common substitute), water, garlic, lard and olive oil cooked slowly and cooled into forms."
deep fried foods,Sorullos,Deep fried foods,Sorullos are a fried cornmeal-based dish[1] that is a staple of the Puerto Rican cuisine.
maize dishes,Alivenci,Fried dishes,"Alivenci, plural form of alivancă,[1] is a traditional custard tart, from the cuisine of Moldavia made with cornmeal, cream cheese like urdă or telemea and smântână."
maize dishes,Binatog,Fried dishes,"Binatog, also known as bualaw, is a Filipino boiled corn dessert topped with freshly grated coconut, butter sugar."
maize dishes,Conkies,Fried dishes,Conkies is a sweet cornmeal-based food item popular in the West Indies.
maize dishes,Corn flakes,Fried dishes,"Corn flakes,  or cornflakes, are a breakfast cereal made from toasting flakes of corn (maize)."
barbecue dishes,Corn on the cob,Barbecue foods,Corn on the cob is a culinary term used for a cooked ear of freshly picked maize from a cultivar of sweet corn.
maize dishes,Corn relish,Fried dishes,"Corn relish is a traditional Southern United States family recipe for cooked whole corn kernels, spiced with red and green bell peppers, peppercorns, and equal parts sugar and cider vinegar."
maize dishes,Corn sauce,Fried dishes,Corn sauce or fermented corn sauce is produced by fermentation using corn starch as the primary substrate.
maize dishes,Gofio,Fried dishes,Gofio is a sort of  Canarian flour made from roasted grains (typically wheat or certain varieties of maize) or other starchy plants (e.
maize dishes,Hominy,Fried dishes,"Hominy is a food produced from dried maize (corn) kernels that have been treated with an alkali, in a process called nixtamalization (nextamalli is the Nahuatl word for ""hominy"")."
maize dishes,Kenkey,Fried dishes,"Kenkey (also known as kɔmi, otim, kooboo or dorkunu) is a staple dish similar to sourdough dumpling from the Ga and Fante-inhabited regions of West Africa, usually served with pepper sauce and fried fish or soup, stew."
maize dishes,Kuymak,Fried dishes,Kuymak is a regional meal of Turkey's Black Sea region's sides.
maize dishes,Maíz con hielo,Fried dishes,"Maíz con hielo (literally ""corn with ice"" in Spanish, also commonly spelled mais kon-yelo in Filipino) is a sweet and refreshing snack food in the Philippines."
coconut dishes,Maja blanca,Coconut dishes,"Maja blanca (literally ""white maja"" in Spanish; Tagalog: [ˈmaha ˈblaŋka]) is a Filipino dessert made primarily from coconut milk."
maize dishes,Maque choux,Fried dishes,Maque choux /ˈmɑːkʃuː/ is a traditional dish of Louisiana.
Ecuadorian dishes and foods,Mote (food),Ecuadorian dishes and foods,"Mote (from Quechua: mut'i, through Spanish mote) is the generic name for several varieties of corn grains boiled, consumed in many regions of South America."
maize dishes,Pinole,Fried dishes,"Pinole, also called pinol or pinolillo, is roasted ground maize, which is then mixed with a combination of cocoa, agave, cinnamon, chia seeds, vanilla, or other spices."
breakfast foods,Popcorn,Breakfast foods,"Popcorn (popped corn, popcorns or pop-corn) is a variety of corn kernel which expands and puffs up when heated; the same names are also used to refer to the foodstuff produced by the expansion."
maize dishes,Bourbon whiskey,Fried dishes,"Bourbon whiskey /bɜːrbən/ is a type of American whiskey, a barrel-aged distilled spirit made primarily from corn."
maize dishes,Cauim,Fried dishes,Cauim is a traditional alcoholic beverage or beer of the indigenous peoples in Brazil since pre-Columbian times.
Ecuadorian dishes and foods,Chicha,Ecuadorian dishes and foods,"Chicha is a fermented (alcoholic) or non-fermented beverage of Latin America, emerging from the Andes and Amazonia regions."
maize dishes,Chicha de jora,Fried dishes,"Chicha de jora is a corn beer or chicha prepared by germinating maize, extracting the malt sugars, boiling the wort, and fermenting it in large vessels (traditionally huge earthenware vats) for several days."
maize dishes,Chicha morada,Fried dishes,Chicha morada is a beverage originated in the Andean regions of Perú but is actually consumed at a national level.
Ecuadorian dishes and foods,Colada morada,Ecuadorian dishes and foods,Colada Morada is a drink that is part of Ecuador's gastronomic culture along with t'anta wawa.
maize dishes,Corn beer,Fried dishes,Corn beer is a beer style made from corn (maize).
maize dishes,Corn tea,Fried dishes,Oksusu-cha (옥수수차) or corn tea is a Korean tea made from corn.
maize dishes,Corn whiskey,Fried dishes,Corn whiskey is an American liquor made from a mash of at least 80 percent corn and distilled to a maximum strength of 160 proof (80% alcohol by volume).
maize dishes,Mazamorra,Fried dishes,"Mazamorra (from Spanish Arabic بسمة‎ pičmáṭ from Greek παξαμάδιον paxamádion, and from the Greek μάζα mâza)[1] is the name for numerous traditional dishes from Iberian Peninsula and Latin America."
maize dishes,Pinolillo,Fried dishes,"Pinolillo is a sweet cornmeal and cacao-based traditional drink in Nicaragua, also consumed in Costa Rica."
maize dishes,Tesgüino,Fried dishes,Tesgüino is an artisanal corn beer produced by several Yuto-Aztec people.
legume dishes,15 bean soup,Legume dishes,15 Bean Soup (a registered trademark of the N.
legume dishes,Beans,Legume dishes,"A bean is the seed of one of several genera of the flowering plant family Fabaceae, which are used as vegetables for human or animal food."
deep fried foods,Acarajé,Deep fried foods,"Àkàrà (Hausa: kosai, Portuguese: Acarajé (Portuguese pronunciation: [akaɾaˈʒɛ] (listen)) is a type of fritter made from cowpeas."
legume dishes,Aloo mutter,Legume dishes,Aloo mutter (also spelled aloo mattar or aloo matar) is a Punjabi dish from the Indian subcontinent which is made from potatoes (Aloo) and peas (matter) in a spiced creamy tomato based sauce.
legume dishes,Amanattō,Legume dishes,"Amanattō (甘納豆) is a Japanese traditional confectionery made of azuki or other beans, covered with refined sugar after simmering with sugar syrup and drying."
legume dishes,Arroz con gandules,Legume dishes,"Arroz con gandules is a combination of rice, pigeon peas, and pork, cooked in the same pot with sofrito."
legume dishes,Balila (dish),Legume dishes,"Balila is a Lebanese dish consisting of chickpeas that have been boiled along with lemon juice, garlic,  and various spices."
legume dishes,Bap (food),Legume dishes,"Bap (Korean: 밥)[2][3] is a Korean name of cooked rice prepared by boiling rice and/or other grains, such as black rice, barley, sorghum, various millets, and beans, until the water has cooked away."
deep fried foods,Bean chips,Deep fried foods,Bean chips are chips prepared using beans as a primary ingredient.
legume dishes,Bean pie,Legume dishes,"A bean pie is a sweet custard pie whose filling consists of mashed beans, usually navy bean, sugar, eggs, milk, butter, and spices."
legume dishes,Bhadmaas,Legume dishes,Bhatamaas is a Nepali name for fried black soybeans.[1]
legume dishes,Bigilla,Legume dishes,"Bigilla is a traditional Maltese dish, made of mashed beans, olive oil, salt and red pepper."
legume dishes,Bissara,Legume dishes,"Bissara, also known as Bessara and Besarah (Arabic: ""بصارة"", Berber: ""Tabissart"" or ""talkhcha"") is a soup and a bean dip in North African cuisine, prepared with dried, puréed broad beans as a primary ingredient."
legume dishes,Black peas,Legume dishes,"Black peas, also called parched peas or dapple peas, are cooked purple podded peas (Pisum sativum var."
legume dishes,Bob chorba,Legume dishes,Bob chorba (Bulgarian: боб чорба; lit.
pickled foods,Bodi ko Achar,Pickled foods,Bodi is a Nepali word for boiled beans.
peanut dishes,Boiled peanuts,Dishes and foods,Boiled peanuts are popular in some places where peanuts are common.
legume dishes,Borracho beans,Legume dishes,"Borracho beans (from borracho meaning ""drunk"" or ""drunken""), also referred to as ""drunken beans"" or ""frijoles borrachos"" is a traditional dish of both Mexican and Southern Texas cuisines made of pinto beans cooked in beer and flavored with cilantro, onion, garlic, bacon, bacon fat, cumin, and chili powder or whole chili peppers."
legume dishes,Bouneschlupp,Legume dishes,"Bouneschlupp is a traditional Luxemburgish green bean soup with potatoes, bacon, and onions.[1][2]"
breakfast foods,Bubur kacang hijau,Breakfast foods,"Bubur kacang hijau, abbreviated burjo, is a Southeast Asian sweet porridge (bubur) made from mung beans (kacang hijau), coconut milk, and palm sugar or cane sugar."
foods named after places,Burmese tofu,Southeast Asia,"Burmese tofu (Burmese: တိုဖူး, pronounced [tòpʰú]; or Burmese: တိုဟူး, pronounced [tòhú]) is a food of Shan origin, made from water and flour ground from yellow split peas and the Burmese version of chickpea flour, also known as besan flour, in a fashion similar to polenta."
legume dishes,Callos,Legume dishes,"Callos is a stew common across Spain, and is considered traditional to Madrid."
legume dishes,Caparrones,Legume dishes,"Caparrones is a Spanish stew made of caparrón, a variety of red kidney bean, and a spicy sausage chorizo, both of which are local specialties of the Spanish La Rioja region."
chickpea dishes,Chana masala,Chickpea dishes,"Chana masala ([ˈtʃənaː məˈsaːlaː], literally 'mix-spiced small-chickpeas'), also known as channay, chole masala, chhole masala,  chole or chholay (plural), is a dish originating from the Indian subcontinent."
legume dishes,Chapea,Legume dishes,Chapea is a bean stew: a very popular dish from the countryside of the Dominican Republic.
legume dishes,Cholent,Legume dishes,"Cholent (Yiddish: טשאָלנט‎, romanized: tsholnt or tshulnt) or hamin (Hebrew: חמין‎) is a traditional Jewish stew."
legume dishes,Chili con carne,Legume dishes,"Chili con carne (also spelled chilli con carne or chile con carne and shortened to chili or chilli Spanish pronunciation: [ˈtʃili kon ˈkaɾne]), meaning ""chili with meat"", is a spicy stew containing chili peppers (sometimes in the form of chili powder), meat (usually beef), and often tomatoes and beans."
legume dishes,Chole bhature,Legume dishes,Chole bhature (Hindi: छोले भटूरे) is a food dish originating from northern India.
chickpea dishes,Ciceri e Tria,Chickpea dishes,Ciceri e tria [ˈtʃiːtʃeri e tˈtriːa] is a pasta dish in Italian cuisine that originated in Apulia.
foods named after places,Cocido lebaniego,Southern Europe,"Cocido lebaniego is a traditional dish from the region of Liébana in Cantabria, Spain."
foods named after places,Cocido madrileño,Southern Europe,"Cocido madrileño (Spanish: [koˈθiðo maðɾiˈleɲo]; ""Madrilenian stew"") is a traditional chickpea-based stew from Madrid, Spain."
legume dishes,Cocido Montañés,Legume dishes,"Cocido montañés ('highlander stew' or 'mountain stew'), is a rich hearty Spanish bean stew, originally from and most commonly found in Cantabria in northern Spain."
legume dishes,Dal baati,Legume dishes,Dal baati is an Indian dish of dal (lentils) and baati (hard wheat rolls).
Nepalese dishes,Dal bhat,Nepali/Nepalese dishes,"Dal bhat (Hindustani: दालभातcode: hin promoted to code: hi , Bengali: ডাল ভাত, Gujarati: દાળ ભાત, Marathi: डाळ भात, Assamese: দাইল ভাত dail bhat / ডালি ভাত dali bhat) is a traditional meal from the Indian subcontinent, popular in many areas of India, Bangladesh and Nepal."
goat dishes,Dalcha,Goat dishes,"Dalcha, also known as kaddu ka dalcha, is an Indian lentil-based curry originating from Hyderabad, Telangana, India."
peanut dishes,Deep-fried peanuts,Dishes and foods,Deep Fried Peanuts are a snack food created by deep frying peanuts in an oil.
goat dishes,Dhansak,Goat dishes,"Dhansak is a popular Indian dish, originating among the Parsi Zoroastrian community."
steamed foods,Dhokla,Steamed foods,Dhokla is a vegetarian culinary dish that is found mainly in the Indian state of Gujarat and parts of adjacent states.
pickled foods,Dilly beans,Pickled foods,"Dilly beans, or pickled green beans, are a means of preserving this summer legume."
breakfast foods,Doubles (food),Breakfast foods,Doubles is a common street food originating from Trinidad and Tobago.
legume dishes,Douzhi,Legume dishes,Douzhi (Chinese: 豆汁; pinyin: dòuzhī ; Beijing dialect: douzhir; also called mung bean milk) is a fermented dish from Beijing cuisine.
chickpea dishes,Farinata,Chickpea dishes,"Farinata [fariˈnaːta], socca [ˈsɔkka], torta di ceci [ˈtorta di ˈtʃeːtʃi], or cecina [tʃeˈtʃiːna] is a type of thin, unleavened pancake or crêpe made from chickpea flour."
Palestinian dishes,Fasolada,West Bank,"Fasolada, fasoulada or sometimes fasolia (Arabic: فاصوليا), (Greek: φασολάδα, φασουλάδα or φασόλια) is a Greek, Mediterranean, and Cypriot soup of dry white beans, olive oil, and vegetables."
Portuguese dishes,Feijoada,Portuguese dishes,Feijoada (Portuguese pronunciation: [fejʒuˈadɐ]) is a stew of beans with beef and pork.
Palestinian dishes,Ful medames,Salads and dips,"Ful medames (Arabic: فول مدمس‎, fūl mudammas IPA: [fuːl mudammas]; other spellings include ful mudammas and  foule mudammes), or simply fūl, is a stew of cooked fava beans served with vegetable oil, cumin, and optionally with chopped parsley, garlic, onion, lemon juice, chili pepper and other vegetable, herb and spice ingredients."
legume dishes,Gallo pinto,Legume dishes,Gallo pinto or gallopinto[4] is a traditional dish from Central America.
legume dishes,Ghugni,Legume dishes,"Ghugni (Bengali: ঘুগনি) (Odia: ଘୁଗୁନି Ghuguni) is a snack, native to the Indian subcontinent, especially popular in Bangladesh and Eastern India (Indian States of Bihar, Jharkhand, Odisha, West Bengal), Northeast India (Indian states of Assam and Tripura)."
legume dishes,Gigandes plaki,Legume dishes,"Gigandes plaki, also spelled gigantes or yigandes (Greek γίγαντες πλακί pronounced [ˈʝiɣa(n)des plaˈci]) is a Greek dish known in English as giant baked beans."
legume dishes,Githeri,Legume dishes,"Githeri (Gĩtheri), also called muthere or mutheri, is a Kenyan traditional meal of maize and legumes, mostly beans of any type mixed and boiled together."
foods named after places,Guernsey Bean Jar,Western Europe,Bean Jar  (Guernésiais: moussaettes au four; French: pot de haricots de Guernesey) is a local dish of the Channel Island of Guernsey.
legume dishes,Hoppin' John,Legume dishes,"Hoppin' John, also known as Carolina peas and rice, is a peas and rice dish served in the Southern United States."
legume dishes,Jidou liangfen,Legume dishes,Liangfen (simplified Chinese: 凉粉; traditional Chinese: 涼粉; pinyin: Liángfěn; lit.
deep fried foods,Kluklu,Deep fried foods,Kuli-kuli refers to a West African snack that is primarily made from peanuts.
legume dishes,Kongbap,Legume dishes,Kongbap is a Korean dish consisting of white or brown rice cooked together with one or more varieties of soybeans.
legume dishes,Koottu,Legume dishes,"Kootu (Tamil:கூட்டு) is a lentil and vegetable stew in South Indian, particularly Tamil and Kerala cuisines."
legume dishes,Kuli-kuli,Legume dishes,Kuli-kuli refers to a West African snack that is primarily made from peanuts.
legume dishes,Kuru fasulye,Legume dishes,Kuru fasulye is a stewed bean dish in Turkish cuisine.
legume dishes,Kuzhambu,Legume dishes,"Kuḻambu (Tamil: குழம்பு), is a common dish in Tamil Nadu and Sri Lankan cuisines, and is a tamarind based dish that can include a variety of meat, vegetables, and in some cases, dal."
Nepalese dishes,Kwati (soup),Nepali/Nepalese dishes,Kwāti (Nepal Bhasa: क्वाती (where क्वा= hot and ती = soup); Nepali: क्वाती) is a mixed soup of nine types of sprouted beans.
legume dishes,Lablabi,Legume dishes,"Lablabi or Lablebi (Arabic: لبلابي‎) is a Tunisian dish based on chick peas in a thin garlic and cumin-flavoured broth, served over small pieces of stale crusty bread."
legume dishes,Liangfen,Legume dishes,Liangfen (simplified Chinese: 凉粉; traditional Chinese: 涼粉; pinyin: Liángfěn; lit.
legume dishes,Lobio,Legume dishes,"Lobio (Georgian: ლობიო) is a traditional Georgian[1] dish of various kinds of prepared beans (cooked or stewed), containing coriander, walnuts, garlic and onion."
legume dishes,Marrowfat peas,Legume dishes,Marrowfat peas are green mature peas (Pisum sativum L.
